Timestamp(ms),Intensity,Winning Status
1.66E+12,0,0.501968444
1.66E+12,0,0.501968444
1.66E+12,0,0.501968444
1.66E+12,0,0.501968444
1.66E+12,0,0.505890072
1.66E+12,0,0.529419843
1.66E+12,0,0.529419843
1.66E+12,0,0.552949614
1.66E+12,0,0.603930784
1.66E+12,0,0.603930784
1.66E+12,0,0.600009156
1.66E+12,0,0.600009156
1.66E+12,0,0.603930784
1.66E+12,0,0.619617298
1.66E+12,0,0.619617298
1.66E+12,0,0.635303812
1.66E+12,0,0.643147069
1.66E+12,0,0.647068697
1.66E+12,0,0.647068697
1.66E+12,0,0.643147069
1.66E+12,0,0.643147069
1.66E+12,0,0.643147069
1.66E+12,0,0.647068697
1.66E+12,0,0.647068697
1.66E+12,0,0.647068697
1.66E+12,0,0.643147069
1.66E+12,0,0.643147069
1.66E+12,0,0.647068697
1.66E+12,0,0.647068697
1.66E+12,0,0.647068697
1.66E+12,0.019608142,0.647068697
1.66E+12,0.023529771,0.643147069
1.66E+12,0.031373028,0.643147069
1.66E+12,0.070589312,0.643147069
1.66E+12,0.074510941,0.647068697
1.66E+12,0.074510941,0.647068697
1.66E+12,0.074510941,0.647068697
1.66E+12,0.078432569,0.643147069
1.66E+12,0.078432569,0.643147069
1.66E+12,0.078432569,0.643147069
1.66E+12,0.074510941,0.647068697
1.66E+12,0.074510941,0.647068697
1.66E+12,0.078432569,0.643147069
1.66E+12,0.074510941,0.643147069
1.66E+12,0.078432569,0.643147069
1.66E+12,0.078432569,0.643147069
1.66E+12,0.074510941,0.647068697
1.66E+12,0.074510941,0.647068697
1.66E+12,0.074510941,0.647068697
1.66E+12,0.078432569,0.643147069
1.66E+12,0.078432569,0.643147069
1.66E+12,0.078432569,0.643147069
1.66E+12,0.078432569,0.643147069
1.66E+12,0.074510941,0.647068697
1.66E+12,0.074510941,0.647068697
1.66E+12,0.078432569,0.643147069
1.66E+12,0.18039491,0.643147069
1.66E+12,0.509811701,0.631382183
1.66E+12,0.509811701,0.623538926
1.66E+12,0.509811701,0.611774041
1.66E+12,0.509811701,0.611774041
1.66E+12,0.509811701,0.611774041
1.66E+12,0.494125187,0.611774041
1.66E+12,0.439222388,0.63922544
1.66E+12,0.364711447,0.643147069
1.66E+12,0.364711447,0.647068697
1.66E+12,0.356868191,0.643147069
1.66E+12,0.356868191,0.662755211
1.66E+12,0.356868191,0.66667684
1.66E+12,0.356868191,0.66667684
1.66E+12,0.349024934,0.670598468
1.66E+12,0.349024934,0.674520096
1.66E+12,0.349024934,0.674520096
1.66E+12,0.352946562,0.674520096
1.66E+12,0.349024934,0.670598468
1.66E+12,0.352946562,0.670598468
1.66E+12,0.349024934,0.670598468
1.66E+12,0.349024934,0.674520096
1.66E+12,0.349024934,0.674520096
1.66E+12,0.349024934,0.674520096
1.66E+12,0.352946562,0.674520096
1.66E+12,0.352946562,0.674520096
1.66E+12,0.349024934,0.670598468
1.66E+12,0.349024934,0.674520096
1.66E+12,0.349024934,0.674520096
1.66E+12,0.349024934,0.674520096
1.66E+12,0.352946562,0.674520096
1.66E+12,0.352946562,0.670598468
1.66E+12,0.431379131,0.670598468
1.66E+12,0.462752159,0.670598468
1.66E+12,0.482360302,0.674520096
1.66E+12,0.505890072,0.670598468
1.66E+12,0.513733329,0.670598468
1.66E+12,0.521576586,0.670598468
1.66E+12,0.521576586,0.670598468
1.66E+12,0.521576586,0.670598468
1.66E+12,0.525498215,0.670598468
1.66E+12,0.533341472,0.670598468
1.66E+12,0.533341472,0.670598468
1.66E+12,0.5372631,0.670598468
1.66E+12,0.5372631,0.670598468
1.66E+12,0.549027985,0.670598468
1.66E+12,0.549027985,0.670598468
1.66E+12,0.549027985,0.658833583
1.66E+12,0.549027985,0.650990326
1.66E+12,0.549027985,0.650990326
1.66E+12,0.549027985,0.650990326
1.66E+12,0.549027985,0.650990326
1.66E+12,0.549027985,0.650990326
1.66E+12,0.549027985,0.650990326
1.66E+12,0.549027985,0.650990326
1.66E+12,0.549027985,0.650990326
1.66E+12,0.556871242,0.650990326
1.66E+12,0.556871242,0.650990326
1.66E+12,0.556871242,0.654911954
1.66E+12,0.556871242,0.682363353
1.66E+12,0.556871242,0.686284982
1.66E+12,0.556871242,0.682363353
1.66E+12,0.556871242,0.682363353
1.66E+12,0.556871242,0.682363353
