Timestamp,Score,Lives,Chaos,Level,Enemies,Bullets,AvgBtnFreq,GoalDist,StartDist,TimeElapsed,AtTower
1656602881339,37,3,46.7,0,1,0,7.6,383.3340579703296,463.9493506838866,13968,0
1656602881444,37,3,47.0,0,1,0,7.6,391.3272287996326,456.07126636086156,14073,0
1656602881553,37,3,47.3,0,1,0,7.5,401.77854596780054,447.93079822669034,14182,0
1656602881653,37,3,47.6,0,1,0,7.9,412.48757557046497,440.27491411616904,14282,0
1656602881759,37,3,47.9,0,1,0,8.6,423.98702810345503,430.98607866148063,14388,0
1656602881864,37,3,48.2,0,1,0,8.6,425.3610231321154,427.387412074806,14493,0
1656602881968,37,3,48.5,0,1,0,8.4,425.205832509386,426.9332500520427,14597,0
1656602882070,37,3,48.8,0,1,0,8.4,426.1748467472007,429.54045211132325,14699,0
1656602882178,37,3,49.1,0,1,0,8.8,433.25396709089694,426.36721262310965,14807,0
1656602882280,37,3,49.4,0,1,0,8.3,439.7385586914115,418.5427098875335,14909,0
1656602882392,37,3,49.7,0,1,0,8.0,437.64026322997296,420.2011423116315,15021,0
1656602882493,37,3,50.0,0,1,0,7.4,434.658486630596,423.09337030967527,15122,0
1656602882604,37,3,50.35,0,1,0,6.3,434.658486630596,423.09337030967527,15233,0
1656602882720,37,3,50.7,0,1,0,5.2,434.7700541665675,423.3591855623307,15349,0
1656602882836,37,3,51.05,0,1,0,4.8,436.01032097875856,426.137301817149,15465,0
1656602882937,37,3,51.35,0,0,0,4.7,437.0125856311234,428.21022874284546,15566,0
1656602883040,37,3,53.65,0,0,1,4.3,436.5695820828566,427.30902166933004,15669,0
1656602883140,37,3,53.95,0,1,1,3.5,435.36191840812165,424.72108494869906,15769,0
1656602883242,37,3,54.25,0,1,1,2.4,434.658486630596,423.09337030967527,15871,0
1656602883356,37,3,54.6,0,1,1,2.4,434.88389255064385,423.6271945944925,15985,0
1656602883458,37,3,54.9,0,1,0,2.6,436.01032097875856,426.137301817149,16087,0
1656602883562,37,3,55.2,0,1,0,3.2,437.79561441384953,429.75458112741507,16191,0
1656602883662,37,3,55.5,0,1,0,3.3,438.2921400162225,430.7063965162348,16291,0
1656602883776,37,3,57.8,0,1,1,3.5,437.0125856311234,428.21022874284546,16405,0
1656602883878,37,3,58.1,0,1,1,2.9,435.36191840812165,424.72108494869906,16507,0
1656602883983,37,3,58.4,0,1,1,2.4,434.658486630596,423.09337030967527,16612,0
