#Balls,#Bullets,Score,AvgBtnFreq,AvgBallDist,RatioBalls,AvgBallDir,Intensity Match,Winning Match
2,2,0,1,61,0.5,-1.23503,0,1
2,2,0,1,68,0.5,-1.22903,0,1
2,2,0,0,77,0.5,-1.22203,0,1
1,1,1,2,0,1,0,0,1
1,1,1,0,0,1,0,0,1
1,1,1,0,0,1,0,0,1
1,0,1,0,-1,0,1.47181,0,1
1,0,1,0,-9,0,1.46681,0,1
1,0,1,0,-18,0,1.46081,0,1
1,1,1,2,-26,0,1.45481,0,1
1,1,1,2,-37,0,1.44781,0,1
1,1,1,3,-45,0,1.44181,0,1
1,1,1,3,-55,0,1.43481,0,1
1,1,1,3,-65,0,1.42781,1,1
1,2,1,2,-74,0,1.42181,1,1
1,2,1,2,-84,0,1.41481,0,1
1,2,1,2,-94,0,1.40781,0,1
1,2,1,2,-102,0,1.40181,0,1
1,3,1,3,-112,0,1.39481,0,1
1,2,1,2,-108,0,-1.83067,0,1
1,2,1,2,-99,0,-1.82567,0,1
1,2,1,1,-86,0,-1.81867,0,1
1,2,1,2,-73,0,-1.81167,0,1
1,2,1,1,-62,0,-1.80567,0,1
1,3,1,3,-50,0,-1.79867,0,1
1,3,1,3,-39,0,-1.79267,0,1
1,2,1,3,-31,0,0.88532,0,1
1,1,1,2,-35,0,0.88032,0,1
1,1,1,2,-41,0,0.87332,0,1
1,1,1,1,-47,0,0.86732,0,1
1,3,1,2,-53,0,0.86032,0,1
1,3,1,2,-59,0,0.85332,0,1
1,2,1,3,-57,0,-0.945,0,1
1,2,1,3,-52,0,-0.94,0,1
1,2,1,2,-46,0,-0.934,0,1
1,3,1,2,-40,0,-0.927,0,1
1,3,1,2,-32,0,-0.92,0,1
1,3,1,1,-27,0,-0.914,0,1
1,2,1,1,-20,0,-1.38612,0,1
1,2,1,1,-13,0,-1.38112,0,1
1,2,1,0,-4,0,-1.37512,0,0
1,2,1,1,5,1,-1.36812,0,0
1,3,1,2,13,1,-1.36212,0,0
1,2,1,2,23,1,-1.35512,0,0
1,2,1,2,31,1,-1.34912,0,0
1,2,1,2,40,1,-1.34212,0,0
1,1,1,1,50,1,-1.3157,0,0
1,1,1,0,55,1,-1.3117,0,0
1,1,1,0,63,1,-1.3057,0,0
1,1,1,0,71,1,-1.2997,0,1
1,1,1,0,80,1,-1.2927,0,1
1,0,1,0,88,1,-1.2867,0,1
1,1,1,0,95,1,-1.2807,0,1
1,2,1,1,103,1,-1.2747,0,1
1,2,1,2,112,1,-1.2677,0,1
1,2,1,2,119,1,-1.2617,0,1
1,3,1,3,127,1,-1.2557,0,1
1,3,1,3,136,1,-1.2487,0,1
1,3,1,3,143,1,-1.2427,0,1
1,3,1,2,151,1,-1.2367,0,1
1,4,1,3,159,1,-1.2297,0,1
1,4,1,2,167,1,-1.2237,0,1
1,4,1,2,174,1,-1.2177,0,1
1,4,1,1,183,1,-1.2107,0,1
1,0,2,1,0,1,0,0,1
1,0,2,1,0,1,0,0,1
1,0,2,2,0,1,0,0,1
1,1,2,2,0,1,0,0,1
1,1,2,1,0,1,0,0,1
1,2,2,2,0,1,0,0,1
1,2,2,2,0,1,0,0,1
1,2,2,1,0,1,0,0,0
1,1,2,1,1,1,-0.76019,0,0
1,1,2,1,3,1,-0.75719,0,0
1,1,2,1,8,1,-0.75119,0,0
1,2,2,2,13,1,-0.74419,0,0
1,2,2,2,17,1,-0.73819,0,0
1,2,2,2,22,1,-0.73119,0,0
1,2,2,2,27,1,-0.72419,0,1
1,1,2,1,32,1,-0.71819,0,1
1,1,2,0,37,1,-0.71119,0,1
1,1,2,0,42,1,-0.70419,0,1
1,1,2,1,46,1,-0.69819,0,1
1,3,2,2,51,1,-0.69119,0,1
1,3,2,2,55,1,-0.68519,0,1
1,3,2,3,59,1,-0.67919,0,1
1,3,2,3,65,1,-0.67219,0,1
1,2,2,2,69,1,-0.66619,0,1
1,2,2,1,73,1,-0.66019,0,1
1,1,2,1,77,1,-1.20808,0,1
1,1,2,0,82,1,-1.20408,0,1
1,1,2,0,90,1,-1.19708,0,1
1,1,2,1,98,1,-1.19008,0,1
1,1,2,1,106,1,-1.18408,0,1
1,1,2,2,114,1,-1.17708,0,1
1,1,2,2,121,1,-1.17108,0,1
1,0,2,2,128,1,-1.16508,0,1
1,1,2,1,136,1,-1.15808,0,1
1,0,2,1,130,1,2.10727,0,1
1,0,2,0,117,1,2.10127,0,1
1,0,2,0,103,1,2.09427,0,1
1,0,2,1,88,1,2.08727,0,1
1,1,2,2,73,1,2.08027,0,1
1,1,2,2,59,1,2.07327,0,1
1,1,2,2,44,1,2.06627,0,1
1,1,2,2,30,1,2.05927,0,1
1,1,2,2,15,1,2.05227,0,0
1,2,2,2,3,1,2.04627,0,0
1,2,2,2,-11,0,2.03927,0,0
1,3,2,2,-23,0,2.03327,0,0
1,2,2,2,-23,0,-1.59534,0,0
1,2,2,1,-16,0,-1.59134,0,0
1,2,2,1,-5,0,-1.58434,0,0
1,2,2,1,7,1,-1.57734,0,0
1,1,2,2,19,1,-1.57034,0,0
1,1,2,2,29,1,-1.56334,0,0
1,2,2,3,39,1,-1.55734,0,1
1,2,2,2,50,1,-1.55034,0,1
1,2,2,2,61,1,-1.54334,0,1
1,3,2,1,71,1,-1.53634,0,1
1,3,2,1,82,1,-1.52934,0,1
1,2,2,0,91,1,-1.52334,0,1
1,2,2,0,102,1,-1.51634,0,1
1,2,2,1,111,1,-1.51034,0,1
1,2,2,1,122,1,-1.50334,0,1
1,3,2,2,132,1,-1.49634,0,1
1,3,2,2,142,1,-1.48934,0,1
1,2,2,2,151,1,-1.48334,0,1
1,2,2,1,162,1,-1.47634,0,1
2,2,2,1,86,1,-0.73467,0,1
2,2,2,0,90,1,-0.73167,0,1
1,0,3,0,0,1,0,0,1
1,1,3,0,0,1,0,0,1
1,1,3,0,0,1,0,0,0
1,1,3,1,0,1,0,0,1
1,2,3,2,0,1,0,0,1
1,2,3,2,0,1,0,0,0
1,3,3,2,0,1,0,0,0
1,3,3,2,0,1,0,0,0
1,4,3,3,0,1,0,0,0
1,4,3,2,0,1,0,0,1
1,3,3,2,0,0,0.0438,0,1
1,4,3,2,0,0,0.0378,0,1
1,3,3,2,-1,0,0.0308,0,1
1,3,3,0,-1,0,0.0248,0,1
1,3,3,1,-1,0,0.0188,0,1
1,4,3,2,-1,0,0.0128,0,1
1,4,3,2,-1,0,0.0068,0,1
1,4,3,2,-1,0,0,0,1
1,3,3,2,0,1,-1.28992,0,1
1,3,3,1,5,1,-1.28592,0,1
1,3,3,0,13,1,-1.27992,0,1
1,2,3,0,22,1,-1.27292,0,1
1,2,3,1,30,1,-1.26692,0,1
1,2,3,2,40,1,-1.25992,0,1
1,2,3,2,47,1,-1.25392,0,1
1,3,3,2,56,1,-1.24692,0,1
1,3,3,2,63,1,-1.24092,0,1
1,2,3,1,72,1,-1.23392,0,1
1,3,3,0,81,1,-1.22692,0,1
1,3,3,0,88,1,-1.22092,0,1
1,3,3,0,97,1,-1.21392,0,1
1,3,3,0,104,1,-1.20792,0,1
1,3,3,0,111,1,-1.20192,0,1
1,3,3,1,119,1,-1.19492,0,1
1,4,3,2,128,1,-1.18792,0,1
1,4,3,2,135,1,-1.18192,0,1
1,2,3,2,135,1,0.90991,0,1
1,2,3,2,131,1,0.90591,0,1
1,2,3,1,125,1,0.89891,0,1
1,2,3,1,119,1,0.89291,0,1
1,1,3,1,113,1,0.88591,0,1
1,1,3,1,108,1,0.87991,0,1
1,1,3,1,102,1,0.87291,0,1
1,1,3,2,95,1,0.86591,0,1
1,2,3,2,89,1,0.85991,0,1
1,2,3,2,83,1,0.85291,0,1
1,1,3,2,77,1,0.84591,0,1
1,2,3,2,72,1,0.83891,0,1
1,2,3,2,67,1,0.83291,0,1
1,2,3,1,61,1,0.82591,0,1
1,3,3,2,56,1,0.81991,0,1
1,3,3,2,50,1,0.81291,0,1
1,3,3,2,44,1,0.80591,0,1
1,3,3,1,39,1,0.79891,0,1
1,3,3,1,34,1,0.79291,0,1
1,3,3,2,28,1,0.78591,0,1
1,3,3,2,23,1,0.77891,0,1
1,4,3,2,18,1,0.77191,0,1
1,3,3,2,12,1,0.76491,0,1
1,3,3,2,7,1,0.75791,0,1
1,3,3,0,2,1,0.75091,0,1
1,2,3,0,-4,0,0.74491,0,1
1,3,3,1,-8,0,0.73891,0,1
1,3,3,1,-13,0,0.73291,0,1
2,3,3,1,-9,0.5,0.36295,0,1
2,2,3,1,-7,0.5,-0.85977,0,1
2,3,3,1,-4,0.5,-0.85777,0,1
2,2,3,1,2,1,-0.85427,0,1
2,2,3,1,8,1,-0.85077,0,1
2,0,3,1,12,0.5,-0.24151,0,1
2,1,3,2,13,0.5,-0.24151,0,1
2,1,3,2,14,0.5,-0.24151,0,1
2,1,3,1,16,0.5,-0.24151,0,1
2,1,3,1,17,0.5,-0.24151,0,1
2,1,3,1,19,0.5,-0.24151,0,1
2,1,3,2,21,0.5,-0.0724,0,1
2,1,3,2,21,0.5,-0.0724,0,1
2,0,3,2,21,0.5,-1.62925,0,1
2,0,3,2,28,0.5,-1.62525,0,1
2,0,3,2,38,0.5,-1.61925,0,1
2,0,3,0,47,0.5,-1.61325,0,0
2,2,3,1,59,0.5,-1.60625,0,0
2,1,3,1,62,0.5,-0.34384,0,1
2,1,3,1,63,1,-0.34384,0,1
2,2,3,1,66,1,-0.34384,0,1
2,1,3,1,66,1,0.11891,0,1
2,1,3,0,65,1,0.11891,0,1
2,1,3,1,64,1,0.11891,0,1
2,1,3,2,62,1,0.82042,0,1
2,1,3,2,59,1,0.81642,0,1
2,1,3,2,53,1,0.81042,0,1
2,1,3,2,47,1,0.80342,0,1
2,1,3,1,42,1,0.79642,0,1
2,1,3,0,36,1,0.78942,0,1
2,1,3,0,32,1,0.78342,0,1
2,2,3,0,26,1,0.77642,0,1
2,3,3,1,20,1,0.76942,0,1
2,2,3,1,15,1,1.21176,0,1
2,2,3,1,10,1,1.20776,0,1
2,2,3,1,3,0.5,1.20176,0,1
2,2,3,1,-4,0.5,1.19576,0,1
2,2,3,1,-12,0,1.18876,0,1
2,2,3,1,-20,0,1.18276,0,1
2,2,3,2,-27,0,1.22,0,1
2,2,3,2,-32,0,1.216,0,1
2,2,3,2,-39,0,1.21,0,1
2,2,3,2,-42,0,-0.08022,0,0
2,2,3,2,-42,0,-0.08022,0,0
2,2,3,1,-41,0,-0.08022,0,0
2,1,3,1,-41,0,-0.08022,0,0
2,2,3,2,-40,0.5,-0.08022,0,0
2,1,3,1,-37,0.5,-1.45416,0,0
2,1,3,1,-31,0.5,-1.45016,0,0
2,1,3,1,-23,0.5,-1.44416,0,0
2,1,3,1,-14,0.5,-1.43816,0,1
2,2,3,2,-3,0.5,-1.43116,0,1
2,2,3,2,8,0.5,-1.42416,0,1
2,2,3,2,17,0.5,-1.41716,0,1
2,1,3,2,25,0.5,-1.50158,0,1
2,1,3,2,31,0.5,-1.49758,0,1
2,1,3,1,41,0.5,-1.49058,0,1
2,1,3,1,52,1,-1.48358,0,1
2,1,3,1,62,1,-1.47658,0,1
2,2,3,2,73,1,-1.46958,0,1
2,2,3,2,82,1,-1.46358,0,1
